name, dist, ra, dec, type, magG, magG_err, magI, magI_err, g-i, gi_err, re, re_err, mue, mue_err, star mask, DTRGB, cz, Other names

dw1242+3158, 7.4, 12:42:31.4, 31:58:09.2, dE, 19.12, 0.1, 18.63, 0.08, 0.5, 0.05, 8.2, 0.6, 25.34, 0.13, N, HSC-10(c)
dw1242+3227, 7.4, 12:42:53.1, 32:27:20.5, dE, 19.18, 0.14, 18.75, 0.24, 0.44, 0.14, 13.5, 1.2, 26.61, 0.19, N, HSC-1(c) DGSAT-1(e) dw3(f)
dw1243+3229, 7.4, 12:43:07.0, 32:29:27.3, dI, 14.97, 0.04, 14.71, 0.04, 0.26, 0.01, 9.2, 0.2, 21.88, 0.06, N, 892(a), HSC-12(c)
dw1243+3228, 7.4, 12:43:24.8, 32:28:55.3, dE, 16.73, 0.03, 16.28, 0.03, 0.45, 0.01, 16.6, 0.3, 24.29, 0.03, N, 665(b), HSC-6(c)
dw1243+3232, 7.4, 12:43:44.8, 32:32:03.6, dE, 18.64, 0.05, 18.19, 0.04, 0.45, 0.01, 10.3, 0.3, 25.39, 0.05, N, HSC-5(c)

dw1310+4358, 6.5, 13:10:59.97, 43:58:48.6, dE, 21.68, 0.15, 20.8, 0.17, 0.88, 0.09, 4.0, 0.5, 26.04, 0.21, N
dw1314+4420, 6.5, 13:14:34.4, 44:20:03.1, dE, 22.39, 0.16, 21.81, 0.27, 0.58, 0.18, 3.1, 0.3, 26.08, 0.23, N

dw1327+4637, 8.6, 13:27:10.6, 46:37:56.3, dE/I, 21.37, 0.24, 20.8, 0.21, 0.57, 0.11, 4.7, 1.0, 26.62, 0.17, N
dw1327+4654, 8.6, 13:27:37.5, 46:54:54.2, dE, 19.01, 0.05, 18.66, 0.03, 0.35, 0.02, 3.5, 0.1, 24.01, 0.06, N
dw1327+4626, 8.6, 13:27:53.1, 46:26:28.6, dE/I, 20.75, 0.2, 20.37, 0.22, 0.38, 0.03, 3.9, 0.8, 25.49, 0.14, N
dw1328+4718, 8.6, 13:28:21.9, 47:18:14.6, dI, 19.01, 0.04, 18.69, 0.05, 0.33, 0.02, 6.3, 0.2, 24.14, 0.07, N
dw1328+4703, 8.6, 13:28:24.7, 47:03:54.8, dE, 20.4, 0.11, 19.81, 0.11, 0.59, 0.04, 6.7, 0.4, 25.97, 0.12, N
dw1329+4634, 8.6, 13:29:51.2, 46:34:57.1, dE_N, 17.33, 0.04, 16.81, 0.04, 0.52, 0.01, 8.1, 0.3, 24.05, 0.05, N, 2676(a)
dw1329+4622, 8.6, 13:29:53.7, 46:22:19.2, dE, 19.52, 0.15, 19.0, 0.16, 0.52, 0.03, 7.1, 0.8, 25.82, 0.16, N, 5600(c) PG1327+4637(c)
dw1330+4708, 8.6, 13:30:32.2, 47:08:15.6, dE, 19.68, 0.06, 19.22, 0.07, 0.47, 0.02, 6.8, 0.8, 25.83, 0.24, N, 109208(a)
dw1330+4731, 8.6, 13:30:33.9, 47:31:33.1, dE, 20.0, 0.15, 19.64, 0.17, 0.37, 0.11, 12.4, 1.2, 27.13, 0.18, N
dw1330+4720, 8.6, 13:30:44.4, 47:20:43.5, dE, 20.03, 0.07, 19.52, 0.09, 0.51, 0.04, 4.7, 0.4, 25.35, 0.18, N
dw1331+4654, 8.6, 13:31:08.2, 46:54:27.8, dE, 22.22, 0.08, 21.68, 0.07, 0.55, 0.08, 3.1, 0.1, 26.51, 0.19, N
dw1331+4648, 8.6, 13:31:11.6, 46:48:57.4, dE, 20.65, 0.17, 20.21, 0.17, 0.44, 0.03, 6.9, 1.1, 27.01, 0.29, N
dw1332+4703, 8.6, 13:32:45.9, 47:03:02.6, dE, 19.6, 0.06, 19.05, 0.07, 0.55, 0.01, 3.6, 0.1, 24.07, 0.09, N
dw1333+4725, 8.6, 13:33:45.2, 47:25:35.8, dI, 17.76, 0.11, 17.23, 0.11, 0.52, 0.02, 4.7, 0.5, 22.86, 0.13, N
