z,log_mstar,logstellardens,sigma
0.05533,10.989,8.73147,121.3722
0.05379,10.9088,9.15505,119.5315
0.11098,10.7909,8.692,100.4275
0.09405,10.8058,9.29378,188.0146
0.11045,10.8117,9.02201,177.3175
0.06376,10.7413,8.75792,98.9854
0.1166,10.7004,8.80356,202.1162
0.09467,10.6603,9.12173,121.6477
0.11804,10.9781,8.78313,157.0224
0.18313,11.0205,8.95734,127.7791
0.10249,10.8198,8.72163,149.0289
0.1118,11.1447,8.9583,231.0136
0.10907,10.4978,8.82023,120.8342
0.11519,10.7131,8.80704,130.9183
0.09609,10.719,9.00161,150.2458
0.21853,11.2911,8.64307,191.4147
0.11014,10.5629,8.894,107.7045
0.09421,10.4459,8.96222,147.24789
0.15503,10.3858,8.73004,123.7102
0.2166,11.2805,8.90952,235.9469
0.18609,10.8561,8.62601,88.8933
0.06125,10.293,8.51752,71.8445
0.10449,11.3781,8.82711,170.84081
0.13076,11.2679,8.9694,204.468
0.09646,10.5155,8.89881,104.3018
0.09557,10.9204,8.7509,122.1684
0.1109,11.0596,9.06641,178.9351
0.09391,10.6493,8.75544,98.2481
0.13612,11.0821,8.284,137.3934
0.06207,10.8146,9.09691,159.0318
0.09258,11.1211,9.29194,281.2482
0.07846,10.3956,8.6914,94.7027
0.11276,10.4591,8.46927,193.4751
0.09346,11.0751,8.91411,166.16209
0.14474,10.6522,8.88666,0.0
0.16939,11.3957,9.07701,160.9502
0.09249,10.7017,8.57694,96.0684
0.12571,10.9288,8.6189,116.5907
0.06286,10.9476,8.93538,152.7655
0.10115,10.4322,8.66067,193.74361
0.06107,10.8238,8.82607,106.4331
0.12475,11.1021,8.42589,132.1228
0.10117,10.8122,8.77247,131.8745
0.07862,10.7689,8.97679,157.134
0.11241,10.5907,8.06326,68.987
0.09519,10.2819,8.7405,115.0584
0.06979,10.3434,8.67256,118.624
0.07152,10.5127,8.85655,150.01331
0.09541,10.5864,8.4293,98.1012
0.09711,10.3445,8.81628,159.25459
0.07385,10.4851,8.51253,121.073
0.09659,10.4726,8.74946,143.96519
0.09492,10.9945,8.90403,197.5672
0.11222,10.6376,8.79213,136.36839
0.07144,10.1376,8.65568,73.4283
0.05654,10.7703,8.96676,163.0397
0.0712,9.9596,8.74169,74.0634
0.1477,10.833,8.74346,144.4561
0.07125,10.5471,8.73653,146.4102
0.09847,10.8734,8.62105,130.75281
0.09887,10.2564,8.57174,105.0405
0.07223,10.1433,7.97071,187.50681
0.16749,10.9284,8.26929,125.1324
0.11013,10.5278,8.84326,145.4818
0.0992,10.6636,8.61064,108.2901
0.09724,11.0145,8.81254,173.9445
0.09373,10.6456,8.65945,135.9325
0.09319,10.3742,8.87959,92.7041
0.14843,10.8025,8.81325,220.6042
0.09807,10.4793,8.04477,64.2167
0.17331,11.172,8.943,221.6541
0.13007,10.9946,8.16465,148.36079
0.09678,10.7681,9.05517,179.08031
0.09928,10.223,8.48087,87.699
0.14704,10.8439,8.50702,98.2002
0.1773,11.1286,8.97302,254.27831
0.16816,11.2705,9.04319,223.5959
0.09517,11.0951,8.38054,160.1631
0.17541,11.0171,8.52507,173.92281
0.08918,10.6532,8.84663,131.7321
0.09751,11.2239,9.01029,240.42551
0.10783,10.7666,8.91035,107.4616
0.09764,10.8397,8.85445,163.4384
0.05618,10.7081,8.61486,81.1978
0.09829,10.4406,8.89082,103.6033
0.02205,10.2711,9.03622,98.9895
0.10645,11.0165,8.80711,157.1476
0.04191,10.373,9.12158,129.38049
0.03443,10.5242,8.43537,120.512
0.10705,10.5432,8.71418,143.4265
0.09741,10.9129,8.70422,137.797
0.09609,11.0914,9.09558,226.83099
0.09515,10.9417,8.85676,161.30611
0.21886,11.078,8.67254,155.89349
0.15087,11.3472,8.83356,291.48721
0.09526,10.8353,8.74397,144.85181
0.15945,11.4474,8.73386,238.1407
0.0847,10.742,8.25871,95.4508
0.153,10.927,8.86777,141.5528
0.15253,11.3456,8.89,210.2596
0.0845,11.2142,9.13722,237.2419
0.0359,10.5071,8.89236,143.619
0.08326,10.0779,8.44304,88.5653
0.11443,10.8489,8.86152,67.6532
0.07345,10.2657,8.78597,126.7993
0.14038,10.8347,8.75166,600.0
0.18667,11.0842,8.83326,172.18671
0.08619,10.5606,9.00016,185.3418
0.0545,10.4004,8.79774,102.8318
0.15263,11.1088,8.69571,127.877
0.11547,10.7392,8.76717,139.8862
0.05516,10.9494,9.12758,113.5925
0.09438,10.4122,8.7267,100.7195
0.09492,10.8136,8.88322,113.0674
0.05583,10.7915,8.86331,135.9926
0.05094,10.2137,8.62459,105.7107
0.13053,10.3022,8.2438,67.3643
0.09536,10.8121,8.92871,134.3947
0.11509,10.9121,9.03264,209.5741
0.17997,11.0196,8.70794,122.4722
