Number,Galaxy,Band,M/L,Type,n_maj,Re_maj,mue_maj,logIe_maj,n_eq,Re_eq,mue_eq,logIe_eq,C,scale,logM*_sph,Dist,logMbh,Ref
35,NGC 5128,3.6 μm,"(0.6, 3.26)",S0*,1.20,61.30,15.73,3.42,2.20,60.80,16.01,3.30,0.42,0.0185,10.64+/-0.33,3.8,7.65+/-0.13,SG16
36,NGC 5576,3.6 μm,"(0.6, 3.26)",E,3.30,61.50,19.41,1.95,3.70,49.30,19.34,1.98,0.49,0.1194,10.87+/-0.12,24.8,8.20+/-0.10,SG16
37,NGC 5846a,3.6 μm,"(0.6, 3.26)",E,6.40,105.10,19.67,1.85,5.70,83.40,19.28,2.01,0.48,0.1165,11.42+/-0.26,24.2,9.04+/-0.05,SG16
38,NGC 6251a,3.6 μm,"(0.6, 3.26)",E,6.80,41.70,19.82,1.81,5.60,30.10,19.31,2.01,0.44,0.4927,11.82+/-0.12,104.6,8.77+/-0.16,SG16
39,NGC 7619a,3.6 μm,"(0.6, 3.26)",E,5.30,63.20,19.53,1.91,5.20,58.00,19.55,1.90,0.51,0.2461,11.64+/-0.26,51.5,9.40+/-0.09,SG16
40,NGC 7768a,3.6 μm,"(0.6, 3.26)",E,8.40,92.90,21.37,1.19,6.70,42.10,20.15,1.68,0.45,0.5301,11.89+/-0.26,112.8,9.11+/-0.15,SG16
41,NGC 1271,H (HST),"(1.4, 3.33)",ES,4.26,3.25,16.75,3.43,4.16,3.07,16.79,3.41,0.46,0.3794,10.95+/-0.1,80.0,9.48+/-0.16,GCS16a
42,NGC 1277,V (HST),"(11.65, 4.82)",ES,5.34,6.00,20.73,3.35,5.63,5.60,21.05,3.22,0.56,0.3445,11.43+/-0.1,72.5,9.08+/-0.12,GDS16b
43,A1836 BCGa,Ks,"(0.7, 5.08)",E,4.10,23.99,19.36,2.80,3.47,14.75,20.66,2.28,0.39,0.7335,11.70+/-0.12,158,9.59+/-0.06,SGD19a
44,A3565 BCG,3.6 μm,"(0.6, 6.02)",E,3.85,43.21,21.29,2.31,3.82,41.10,21.28,2.31,0.45,0.1951,11.47+/-0.26,40.7,9.04+/-0.09,SGD19a
45,NGC 0307,r ¢(SDSS),"(2.8, 4.65)",SAB0,3.33,3.00,18.82,3.42,3.76,3.33,19.44,3.17,0.49,0.2523,10.43+/-0.33,52.8,8.34+/-0.13,SGD19a
46,NGC 0404,3.6 μm,"(0.6, 6.02)",S0,0.93,3.99,18.58,3.39,0.90,3.89,18.59,3.38,0.20,0.0148,7.96+/-0.27,3.1,4.85+/-0.13,SGD19a
47,NGC 0524a,3.6 μm,"(0.6, 6.02)",SA0(rs),2.29,8.79,18.67,3.35,2.16,8.35,18.57,3.39,0.34,0.1122,10.57+/-0.26,23.3,8.92+/-0.10,SGD19a
48,NGC 1194a,3.6 μm,"(0.6, 6.02)",S0*,3.76,3.52,18.34,3.49,3.91,3.56,18.56,3.40,0.47,0.2542,10.71+/-0.33,53.2,7.81+/-0.04,SGD19a
